id,name,category_id,satofull_id,created_at,updated_at
1,牛肉（精肉）,1,101,0000-00-00 00:00:00,0000-00-00 00:00:00
2,牛肉（加工品）,1,1001,0000-00-00 00:00:00,0000-00-00 00:00:00
3,豚肉（精肉）,1,102,0000-00-00 00:00:00,0000-00-00 00:00:00
4,豚肉（加工品）,1,1002,0000-00-00 00:00:00,0000-00-00 00:00:00
5,鶏肉,1,103,0000-00-00 00:00:00,0000-00-00 00:00:00
6,馬肉,1,106,0000-00-00 00:00:00,0000-00-00 00:00:00
7,その他肉・加工品,1,113,0000-00-00 00:00:00,0000-00-00 00:00:00
8,羊肉・ラム肉（ジンギスカン）,1,105,0000-00-00 00:00:00,0000-00-00 00:00:00
9,カニ,2,114,0000-00-00 00:00:00,0000-00-00 00:00:00
10,エビ,2,115,0000-00-00 00:00:00,0000-00-00 00:00:00
11,いくら,2,117,0000-00-00 00:00:00,0000-00-00 00:00:00
12,明太子・たらこ,2,119,0000-00-00 00:00:00,0000-00-00 00:00:00
13,うに,2,118,0000-00-00 00:00:00,0000-00-00 00:00:00
14,その他魚卵,2,1003,0000-00-00 00:00:00,0000-00-00 00:00:00
15,貝,2,120,0000-00-00 00:00:00,0000-00-00 00:00:00
16,うなぎ,2,116,0000-00-00 00:00:00,0000-00-00 00:00:00
17,鮮魚,2,1004,0000-00-00 00:00:00,0000-00-00 00:00:00
18,イカ・タコ,2,1005,0000-00-00 00:00:00,0000-00-00 00:00:00
19,干物,2,121,0000-00-00 00:00:00,0000-00-00 00:00:00
20,海苔・海藻,2,122,0000-00-00 00:00:00,0000-00-00 00:00:00
21,その他魚介・加工品,2,124,0000-00-00 00:00:00,0000-00-00 00:00:00
22,米,3,125,0000-00-00 00:00:00,0000-00-00 00:00:00
23,その他穀物加工品,3,131,0000-00-00 00:00:00,0000-00-00 00:00:00
24,パン,3,130,0000-00-00 00:00:00,0000-00-00 00:00:00
25,梨,4,1006,0000-00-00 00:00:00,0000-00-00 00:00:00
26,いちご,4,134,0000-00-00 00:00:00,0000-00-00 00:00:00
27,みかん,4,135,0000-00-00 00:00:00,0000-00-00 00:00:00
28,もも,4,132,0000-00-00 00:00:00,0000-00-00 00:00:00
29,その他柑橘,4,1007,0000-00-00 00:00:00,0000-00-00 00:00:00
30,りんご,4,133,0000-00-00 00:00:00,0000-00-00 00:00:00
31,さくらんぼ,4,136,0000-00-00 00:00:00,0000-00-00 00:00:00
32,メロン,4,137,0000-00-00 00:00:00,0000-00-00 00:00:00
33,すいか,4,1008,0000-00-00 00:00:00,0000-00-00 00:00:00
34,マンゴー,4,138,0000-00-00 00:00:00,0000-00-00 00:00:00
35,ぶどう・マスカット,4,139,0000-00-00 00:00:00,0000-00-00 00:00:00
36,キウイ,4,1009,0000-00-00 00:00:00,0000-00-00 00:00:00
37,柿,4,1010,0000-00-00 00:00:00,0000-00-00 00:00:00
38,ドライフルーツ,4,140,0000-00-00 00:00:00,0000-00-00 00:00:00
39,その他果物,4,142,0000-00-00 00:00:00,0000-00-00 00:00:00
40,いも,5,143,0000-00-00 00:00:00,0000-00-00 00:00:00
41,トマト,5,144,0000-00-00 00:00:00,0000-00-00 00:00:00
42,玉ねぎ,5,145,0000-00-00 00:00:00,0000-00-00 00:00:00
43,ねぎ,5,1011,0000-00-00 00:00:00,0000-00-00 00:00:00
44,とうもろこし,5,146,0000-00-00 00:00:00,0000-00-00 00:00:00
45,根菜,5,147,0000-00-00 00:00:00,0000-00-00 00:00:00
46,アスパラガス,5,1012,0000-00-00 00:00:00,0000-00-00 00:00:00
47,豆,5,1013,0000-00-00 00:00:00,0000-00-00 00:00:00
48,きのこ,5,148,0000-00-00 00:00:00,0000-00-00 00:00:00
49,その他野菜,5,149,0000-00-00 00:00:00,0000-00-00 00:00:00
50,卵,6,150,0000-00-00 00:00:00,0000-00-00 00:00:00
51,チーズ,6,151,0000-00-00 00:00:00,0000-00-00 00:00:00
52,ヨーグルト,6,152,0000-00-00 00:00:00,0000-00-00 00:00:00
53,バター,6,1014,0000-00-00 00:00:00,0000-00-00 00:00:00
54,牛乳,6,1015,0000-00-00 00:00:00,0000-00-00 00:00:00
55,その他乳製品,6,153,0000-00-00 00:00:00,0000-00-00 00:00:00
56,ビール,7,154,0000-00-00 00:00:00,0000-00-00 00:00:00
57,発泡酒,7,1016,0000-00-00 00:00:00,0000-00-00 00:00:00
58,日本酒,7,155,0000-00-00 00:00:00,0000-00-00 00:00:00
59,焼酎,7,157,0000-00-00 00:00:00,0000-00-00 00:00:00
60,梅酒,7,158,0000-00-00 00:00:00,0000-00-00 00:00:00
61,泡盛,7,160,0000-00-00 00:00:00,0000-00-00 00:00:00
62,ワイン,7,156,0000-00-00 00:00:00,0000-00-00 00:00:00
63,シャンパン,7,159,0000-00-00 00:00:00,0000-00-00 00:00:00
64,ウイスキー,7,1017,0000-00-00 00:00:00,0000-00-00 00:00:00
65,リキュール・洋酒,7,161,0000-00-00 00:00:00,0000-00-00 00:00:00
66,甘酒,7,1047,0000-00-00 00:00:00,0000-00-00 00:00:00
67,ノンアルコール,7,1046,0000-00-00 00:00:00,0000-00-00 00:00:00
68,その他酒,7,162,0000-00-00 00:00:00,0000-00-00 00:00:00
69,水・ミネラルウォーター,8,163,0000-00-00 00:00:00,0000-00-00 00:00:00
70,コーヒー・コーヒー豆,8,164,0000-00-00 00:00:00,0000-00-00 00:00:00
71,茶,8,165,0000-00-00 00:00:00,0000-00-00 00:00:00
72,紅茶,8,166,0000-00-00 00:00:00,0000-00-00 00:00:00
73,果汁飲料,8,167,0000-00-00 00:00:00,0000-00-00 00:00:00
74,その他飲料・ジュース,8,169,0000-00-00 00:00:00,0000-00-00 00:00:00
75,ケーキ,9,171,0000-00-00 00:00:00,0000-00-00 00:00:00
76,クッキー,9,172,0000-00-00 00:00:00,0000-00-00 00:00:00
77,焼き菓子,9,1019,0000-00-00 00:00:00,0000-00-00 00:00:00
78,プリン,9,174,0000-00-00 00:00:00,0000-00-00 00:00:00
79,チョコレート,9,170,0000-00-00 00:00:00,0000-00-00 00:00:00
80,ゼリー,9,175,0000-00-00 00:00:00,0000-00-00 00:00:00
81,カステラ,9,176,0000-00-00 00:00:00,0000-00-00 00:00:00
82,アイス・ジェラート,9,1020,0000-00-00 00:00:00,0000-00-00 00:00:00
83,その他洋菓子,9,177,0000-00-00 00:00:00,0000-00-00 00:00:00
84,せんべい・おかき,9,173,0000-00-00 00:00:00,0000-00-00 00:00:00
85,ようかん,9,1021,0000-00-00 00:00:00,0000-00-00 00:00:00
86,大福,9,1022,0000-00-00 00:00:00,0000-00-00 00:00:00
87,まんじゅう,9,1023,0000-00-00 00:00:00,0000-00-00 00:00:00
88,その他和菓子,9,178,0000-00-00 00:00:00,0000-00-00 00:00:00
89,ラーメン,10,179,0000-00-00 00:00:00,0000-00-00 00:00:00
90,うどん,10,180,0000-00-00 00:00:00,0000-00-00 00:00:00
91,そば,10,181,0000-00-00 00:00:00,0000-00-00 00:00:00
92,パスタ,10,182,0000-00-00 00:00:00,0000-00-00 00:00:00
93,そうめん,10,183,0000-00-00 00:00:00,0000-00-00 00:00:00
94,ひやむぎ,10,1024,0000-00-00 00:00:00,0000-00-00 00:00:00
95,その他麺,10,184,0000-00-00 00:00:00,0000-00-00 00:00:00
96,惣菜,11,186,0000-00-00 00:00:00,0000-00-00 00:00:00
97,カレー・シチュー,11,185,0000-00-00 00:00:00,0000-00-00 00:00:00
98,鍋,11,1043,0000-00-00 00:00:00,0000-00-00 00:00:00
99,ピザ,11,1025,0000-00-00 00:00:00,0000-00-00 00:00:00
100,レトルト,11,1026,0000-00-00 00:00:00,0000-00-00 00:00:00
101,スープ,11,1018,0000-00-00 00:00:00,0000-00-00 00:00:00
102,豆腐・納豆,11,187,0000-00-00 00:00:00,0000-00-00 00:00:00
103,漬物,11,188,0000-00-00 00:00:00,0000-00-00 00:00:00
104,缶詰・瓶詰,11,190,0000-00-00 00:00:00,0000-00-00 00:00:00
105,乾物,11,191,0000-00-00 00:00:00,0000-00-00 00:00:00
106,くんせい（スモーク）,11,189,0000-00-00 00:00:00,0000-00-00 00:00:00
107,その他加工品,11,192,0000-00-00 00:00:00,0000-00-00 00:00:00
108,砂糖,12,193,0000-00-00 00:00:00,0000-00-00 00:00:00
109,塩,12,196,0000-00-00 00:00:00,0000-00-00 00:00:00
110,醤油,12,194,0000-00-00 00:00:00,0000-00-00 00:00:00
111,味噌,12,195,0000-00-00 00:00:00,0000-00-00 00:00:00
112,酢,12,197,0000-00-00 00:00:00,0000-00-00 00:00:00
113,だし,12,1027,0000-00-00 00:00:00,0000-00-00 00:00:00
114,食用油,12,198,0000-00-00 00:00:00,0000-00-00 00:00:00
115,ドレッシング,12,1028,0000-00-00 00:00:00,0000-00-00 00:00:00
116,はちみつ,12,1029,0000-00-00 00:00:00,0000-00-00 00:00:00
117,その他調味料,12,199,0000-00-00 00:00:00,0000-00-00 00:00:00
118,旅行券・宿泊券,13,200,0000-00-00 00:00:00,0000-00-00 00:00:00
119,温泉利用券,13,201,0000-00-00 00:00:00,0000-00-00 00:00:00
120,食事券,13,202,0000-00-00 00:00:00,0000-00-00 00:00:00
121,入場券・優待券,13,203,0000-00-00 00:00:00,0000-00-00 00:00:00
122,花火大会チケット,13,204,0000-00-00 00:00:00,0000-00-00 00:00:00
123,体験チケット,13,205,0000-00-00 00:00:00,0000-00-00 00:00:00
124,その他旅行券・チケット,13,207,0000-00-00 00:00:00,0000-00-00 00:00:00
125,家具・インテリア,14,208,0000-00-00 00:00:00,0000-00-00 00:00:00
126,寝具,14,209,0000-00-00 00:00:00,0000-00-00 00:00:00
127,タオル,14,210,0000-00-00 00:00:00,0000-00-00 00:00:00
128,文房具・印鑑,14,211,0000-00-00 00:00:00,0000-00-00 00:00:00
129,食器,14,213,0000-00-00 00:00:00,0000-00-00 00:00:00
130,キッチン用品,14,214,0000-00-00 00:00:00,0000-00-00 00:00:00
131,日用品,14,1030,0000-00-00 00:00:00,0000-00-00 00:00:00
132,おもちゃ・ぬいぐるみ,14,212,0000-00-00 00:00:00,0000-00-00 00:00:00
133,ご当地キャラクター,14,1031,0000-00-00 00:00:00,0000-00-00 00:00:00
134,ベビー用品,14,1032,0000-00-00 00:00:00,0000-00-00 00:00:00
135,スポーツ・アウトドア用品,14,1033,0000-00-00 00:00:00,0000-00-00 00:00:00
136,防災グッズ,14,1034,0000-00-00 00:00:00,0000-00-00 00:00:00
137,電化製品,14,1048,0000-00-00 00:00:00,0000-00-00 00:00:00
138,その他雑貨,14,215,0000-00-00 00:00:00,0000-00-00 00:00:00
139,スキンケア,15,216,0000-00-00 00:00:00,0000-00-00 00:00:00
140,シャンプー・リンス,15,217,0000-00-00 00:00:00,0000-00-00 00:00:00
141,せっけん・ボディーソープ,15,218,0000-00-00 00:00:00,0000-00-00 00:00:00
142,アロマ,15,219,0000-00-00 00:00:00,0000-00-00 00:00:00
143,入浴剤,15,1035,0000-00-00 00:00:00,0000-00-00 00:00:00
144,その他美容,15,220,0000-00-00 00:00:00,0000-00-00 00:00:00
145,鞄・バッグ,16,221,0000-00-00 00:00:00,0000-00-00 00:00:00
146,洋服,16,222,0000-00-00 00:00:00,0000-00-00 00:00:00
147,和服,16,1036,0000-00-00 00:00:00,0000-00-00 00:00:00
148,靴・履き物,16,1037,0000-00-00 00:00:00,0000-00-00 00:00:00
149,アクセサリー,16,223,0000-00-00 00:00:00,0000-00-00 00:00:00
150,織物,16,1044,0000-00-00 00:00:00,0000-00-00 00:00:00
151,その他服飾小物,16,225,0000-00-00 00:00:00,0000-00-00 00:00:00
152,陶器・漆器,16,1045,0000-00-00 00:00:00,0000-00-00 00:00:00
153,その他装飾品・工芸品,16,228,0000-00-00 00:00:00,0000-00-00 00:00:00
154,花,17,229,0000-00-00 00:00:00,0000-00-00 00:00:00
155,観葉植物・苗木,17,1038,0000-00-00 00:00:00,0000-00-00 00:00:00
156,盆栽・その他,17,1039,0000-00-00 00:00:00,0000-00-00 00:00:00